arm_num,unique_event_name,form
1,baseline_arm_1,patient_information
1,baseline_arm_1,visit_sample_collection
1,baseline_arm_1,storage_sample_type_and_aliquots
1,baseline_arm_1,whole_blood_aliquots
1,baseline_arm_1,blood_plasma_aliquots
1,baseline_arm_1,buffy_coat_aliquots
1,baseline_arm_1,blood_serum_aliquots
1,baseline_arm_1,dna_aliquots
1,baseline_arm_1,pbmc_aliquots
1,visit_2_arm_1,visit_sample_collection
1,visit_2_arm_1,storage_sample_type_and_aliquots
1,visit_2_arm_1,whole_blood_aliquots
1,visit_2_arm_1,blood_plasma_aliquots
1,visit_2_arm_1,buffy_coat_aliquots
1,visit_2_arm_1,blood_serum_aliquots
1,visit_2_arm_1,dna_aliquots
1,visit_2_arm_1,pbmc_aliquots
1,shipping_arm_1,sample_collection_snapshot
1,shipping_arm_1,shipping
